rater,report_date,ticker,decision,gap,net,equity
LLM (DeepSeek),2014-02-28,AMKBY,SELL,-0.0293,0.0283,1.0283
LLM (DeepSeek),2023-04-25,PEP,BUY,-0.0065,-0.0075,1.0206
LLM (DeepSeek),2023-07-13,PEP,BUY,0.0018,0.0008,1.0214
LLM (DeepSeek),2023-10-10,PEP,BUY,0.0038,0.0028,1.0242
LLM (DeepSeek),2024-02-09,PEP,SELL,0.0011,-0.0021,1.022
LLM (DeepSeek),2024-04-23,PEP,HOLD,-0.0159,-0.0,1.022
LLM (DeepSeek),2024-07-11,PEP,SELL,0.0062,-0.0072,1.0147
LLM (DeepSeek),2024-10-01,NKE,SELL,-0.07,0.069,1.0847
LLM (DeepSeek),2024-10-08,PEP,SELL,-0.0061,0.0051,1.0902
LLM (DeepSeek),2024-10-23,HLT,HOLD,-0.0017,-0.0,1.0902
LLM (DeepSeek),2024-10-30,MSFT,HOLD,-0.0397,-0.0,1.0902
LLM (DeepSeek),2024-12-19,NKE,SELL,-0.0148,0.0138,1.1053
LLM (DeepSeek),2025-01-21,NFLX,BUY,0.1475,0.1465,1.2672
LLM (DeepSeek),2025-01-29,MSFT,HOLD,-0.0533,-0.0,1.2672
LLM (DeepSeek),2025-02-04,PEP,HOLD,-0.0007,-0.0,1.2672
LLM (DeepSeek),2025-02-05,AMKBY,HOLD,0.02,0.0,1.2672
LLM (DeepSeek),2025-02-10,MCD,HOLD,-0.0034,-0.0,1.2672
LLM (DeepSeek),2025-02-26,NVDA,SELL,0.0284,-0.0294,1.23
LLM (DeepSeek),2025-03-20,NKE,SELL,-0.0734,0.0724,1.3191
LLM (DeepSeek),2025-04-10,JPM,SELL,-0.0035,0.0025,1.3224
LLM (DeepSeek),2025-04-11,GS,HOLD,0.0315,0.0,1.3224
LLM (DeepSeek),2025-04-15,C,HOLD,-0.0197,-0.0,1.3224
LLM (DeepSeek),2025-04-15,BAC,HOLD,-0.0032,-0.0,1.3224
LLM (DeepSeek),2025-04-15,UAL,SELL,0.0394,-0.0404,1.2689
LLM (DeepSeek),2025-04-16,SCHW,HOLD,0.026,0.0,1.2689
LLM (DeepSeek),2025-04-17,NFLX,HOLD,0.0117,0.0,1.2689
LLM (DeepSeek),2025-04-22,LMT,HOLD,0.0106,0.0,1.2689
LLM (DeepSeek),2025-04-23,BA,BUY,-0.0068,-0.0078,1.2591
LLM (DeepSeek),2025-04-24,PEP,SELL,0.0012,-0.0022,1.2562
LLM (DeepSeek),2025-04-28,PFE,HOLD,-0.0095,-0.0,1.2562
LLM (DeepSeek),2025-04-29,HLT,SELL,-0.0149,0.0139,1.2737
LLM (DeepSeek),2025-05-06,UBER,HOLD,-0.0315,-0.0,1.2737
LLM (DeepSeek),2025-05-07,DIS,HOLD,0.0184,0.0,1.2737
LLM (DeepSeek),2025-05-07,NVO,SELL,-0.0242,0.0232,1.3032
LLM (DeepSeek),2025-05-14,WMT,HOLD,-0.0261,-0.0,1.3032
LLM (DeepSeek),2025-05-21,TGT,SELL,-0.009,0.008,1.3136
LLM (DeepSeek),2025-05-28,NVDA,HOLD,0.0552,0.0,1.3136
LLM (DeepSeek),2025-07-15,C,HOLD,0.0083,0.0,1.3136
LLM (DeepSeek),2025-07-15,GS,HOLD,0.0085,0.0,1.3136
LLM (DeepSeek),2025-07-15,BAC,HOLD,0.002,0.0,1.3136
